./36_22%11_4.out:Avg angular diffs   : 99.27
./45_26%25_1.out:Avg angular diffs   : 82.36
./28_15%17_2.out:Avg angular diffs   : 77.90
./56_30%39_3.out:Avg angular diffs   : 93.46
./26_32%30_3.out:Avg angular diffs   : 80.26
./26_21%15_2.out:Avg angular diffs   : 82.40
./27_31%26_3.out:Avg angular diffs   : 88.31
./56_39%40_3.out:Avg angular diffs   : 96.84
./34_19%17_2.out:Avg angular diffs   : 92.76
./45_35%36_1.out:Avg angular diffs   : 89.03
./37_19%20_3.out:Avg angular diffs   : 77.82
./61_15%16_1.out:Avg angular diffs   : 72.00
./45_41%31_4.out:Avg angular diffs   : 93.27
./54_40%39_3.out:Avg angular diffs   : 97.83
./28_36%39_4.out:Avg angular diffs   : 85.57
./36_21%22_4.out:Avg angular diffs   : 102.00
./59_26%25_1.out:Avg angular diffs   : 78.86
./35_21%11_4.out:Avg angular diffs   : 97.50
./26_7%10_1.out:Avg angular diffs   : 82.67
./39_5%16_1.out:Avg angular diffs   : 69.59
./26_18%21_2.out:Avg angular diffs   : 100.59
./33_22%21_4.out:Avg angular diffs   : 99.19
./48_35%26_1.out:Avg angular diffs   : 66.14
./44_25%26_1.out:Avg angular diffs   : 68.16
./43_36%27_2.out:Avg angular diffs   : 90.65
./34_12%17_2.out:Avg angular diffs   : 87.63
./28_10%9_1.out:Avg angular diffs   : 80.58
./28_30%31_3.out:Avg angular diffs   : 92.31
./44_25%38_2.out:Avg angular diffs   : 73.20
./45_39%40_3.out:Avg angular diffs   : 73.38
./27_28%25_3.out:Avg angular diffs   : 97.68
./42_39%29_3.out:Avg angular diffs   : 83.37
./38_20%10_3.out:Avg angular diffs   : 79.83
./32_21%12_4.out:Avg angular diffs   : 87.44
./28_36%30_3.out:Avg angular diffs   : 88.66
./47_29%40_3.out:Avg angular diffs   : 92.59
./27_39%10_1.out:Avg angular diffs   : 85.78
./47_39%40_3.out:Avg angular diffs   : 93.10
./43_25%26_1.out:Avg angular diffs   : 76.25
./34_5%6_1.out:Avg angular diffs   : 95.56
./26_12%10_1.out:Avg angular diffs   : 66.45
./47_37%27_2.out:Avg angular diffs   : 87.40
./28_8%31_3.out:Avg angular diffs   : 98.08
./37_10%11_4.out:Avg angular diffs   : 98.39
./63_12%18_2.out:Avg angular diffs   : 73.98
./26_27%29_3.out:Avg angular diffs   : 99.94
./33_19%9_3.out:Avg angular diffs   : 97.11
./36_15%5_1.out:Avg angular diffs   : 85.00
./37_5%16_1.out:Avg angular diffs   : 64.11
./33_9%19_3.out:Avg angular diffs   : 88.25
./35_12%21_4.out:Avg angular diffs   : 106.56
./26_9%6_1.out:Avg angular diffs   : 75.79
./28_25%17_2.out:Avg angular diffs   : 80.81
./45_27%38_2.out:Avg angular diffs   : 65.09
./34_19%20_3.out:Avg angular diffs   : 89.53
./27_10%11_1.out:Avg angular diffs   : 119.81
./33_16%6_1.out:Avg angular diffs   : 80.90
./59_27%37_2.out:Avg angular diffs   : 97.08
./44_26%36_1.out:Avg angular diffs   : 82.40
./61_16%5_1.out:Avg angular diffs   : 83.18
./33_15%6_1.out:Avg angular diffs   : 80.39
./27_26%31_3.out:Avg angular diffs   : 81.82
./26_8%11_1.out:Avg angular diffs   : 96.16
./27_28%11_1.out:Avg angular diffs   : 91.17
./64_21%11_4.out:Avg angular diffs   : 102.72
./59_25%35_1.out:Avg angular diffs   : 80.78
./59_38%27_2.out:Avg angular diffs   : 85.40
./33_12%21_4.out:Avg angular diffs   : 91.45
./37_10%19_3.out:Avg angular diffs   : 108.53
./26_11%9_1.out:Avg angular diffs   : 78.41
./26_32%28_3.out:Avg angular diffs   : 86.29
./28_32%25_3.out:Avg angular diffs   : 99.87
./59_36%35_1.out:Avg angular diffs   : 91.08
./48_26%35_1.out:Avg angular diffs   : 109.77
./35_20%10_3.out:Avg angular diffs   : 96.36
./46_25%26_1.out:Avg angular diffs   : 75.76
./26_8%10_1.out:Avg angular diffs   : 96.80
./28_26%30_3.out:Avg angular diffs   : 90.45
./28_29%25_3.out:Avg angular diffs   : 80.13
./48_25%26_1.out:Avg angular diffs   : 82.50
./44_25%27_2.out:Avg angular diffs   : 88.22
./28_8%9_1.out:Avg angular diffs   : 94.19
./37_16%7_2.out:Avg angular diffs   : 95.42
./28_12%11_1.out:Avg angular diffs   : 94.56
./31_21%19_3.out:Avg angular diffs   : 89.34
./26_10%9_1.out:Avg angular diffs   : 81.14
./45_36%25_1.out:Avg angular diffs   : 85.33
./63_5%15_1.out:Avg angular diffs   : 90.00
./26_30%27_3.out:Avg angular diffs   : 74.30
./33_19%10_3.out:Avg angular diffs   : 99.00
./36_7%17_2.out:Avg angular diffs   : 79.62
./26_26%25_3.out:Avg angular diffs   : 88.09
./26_12%7_1.out:Avg angular diffs   : 85.43
./26_9%8_1.out:Avg angular diffs   : 92.97
./44_40%29_3.out:Avg angular diffs   : 109.37
./47_32%42_4.out:Avg angular diffs   : 101.25
./32_10%20_3.out:Avg angular diffs   : 86.05
./33_6%15_1.out:Avg angular diffs   : 83.02
./27_7%11_1.out:Avg angular diffs   : 84.74
./28_36%38_4.out:Avg angular diffs   : 99.00
./36_6%5_1.out:Avg angular diffs   : 85.45
./63_9%20_3.out:Avg angular diffs   : 73.52
./27_31%32_3.out:Avg angular diffs   : 86.76
./26_6%7_1.out:Avg angular diffs   : 82.17
./48_41%42_4.out:Avg angular diffs   : 64.14
./39_5%17_2.out:Avg angular diffs   : 85.42
./27_12%29_3.out:Avg angular diffs   : 80.66
./28_6%12_1.out:Avg angular diffs   : 97.58
./42_41%31_4.out:Avg angular diffs   : 90.00
./42_29%39_3.out:Avg angular diffs   : 95.36
./59_31%41_4.out:Avg angular diffs   : 87.95
./28_9%15_2.out:Avg angular diffs   : 94.60
./28_35%39_4.out:Avg angular diffs   : 75.68
./44_26%25_1.out:Avg angular diffs   : 93.91
./54_35%40_3.out:Avg angular diffs   : 90.53
./38_16%6_1.out:Avg angular diffs   : 92.59
./37_17%11_4.out:Avg angular diffs   : 83.90
./59_30%29_3.out:Avg angular diffs   : 93.84
./26_28%30_3.out:Avg angular diffs   : 86.29
./44_37%27_2.out:Avg angular diffs   : 97.70
./26_19%15_2.out:Avg angular diffs   : 92.34
./61_16%15_1.out:Avg angular diffs   : 74.89
./28_41%35_4.out:Avg angular diffs   : 95.72
./27_15%19_2.out:Avg angular diffs   : 99.09
./45_31%42_4.out:Avg angular diffs   : 95.42
./33_22%17_2.out:Avg angular diffs   : 70.07
./26_19%21_2.out:Avg angular diffs   : 101.12
./48_30%40_3.out:Avg angular diffs   : 70.88
./34_11%21_4.out:Avg angular diffs   : 110.30
./28_8%30_3.out:Avg angular diffs   : 98.91
./45_41%32_4.out:Avg angular diffs   : 99.06
./27_29%30_3.out:Avg angular diffs   : 94.54
./32_16%5_1.out:Avg angular diffs   : 88.83
./61_19%20_3.out:Avg angular diffs   : 69.77
./26_31%26_3.out:Avg angular diffs   : 86.68
./47_35%36_1.out:Avg angular diffs   : 80.53
./27_30%31_3.out:Avg angular diffs   : 98.18
./47_35%25_1.out:Avg angular diffs   : 78.57
./28_11%12_1.out:Avg angular diffs   : 98.60
./48_38%28_2.out:Avg angular diffs   : 74.22
./56_40%36_1.out:Avg angular diffs   : 85.76
./26_26%27_3.out:Avg angular diffs   : 77.97
./27_12%5_1.out:Avg angular diffs   : 77.82
./34_5%15_1.out:Avg angular diffs   : 95.55
./36_10%20_3.out:Avg angular diffs   : 92.56
./61_9%20_3.out:Avg angular diffs   : 87.89
./33_9%10_3.out:Avg angular diffs   : 85.50
./31_11%21_4.out:Avg angular diffs   : 109.62
./28_8%11_1.out:Avg angular diffs   : 87.72
./28_7%8_1.out:Avg angular diffs   : 85.21
./45_36%26_1.out:Avg angular diffs   : 77.69
./27_32%28_3.out:Avg angular diffs   : 92.67
./44_39%40_3.out:Avg angular diffs   : 71.16
./28_7%5_1.out:Avg angular diffs   : 94.39
./45_42%32_4.out:Avg angular diffs   : 97.12
./54_40%32_4.out:Avg angular diffs   : 95.44
./35_16%6_1.out:Avg angular diffs   : 90.94
./36_5%22_4.out:Avg angular diffs   : 77.25
./27_32%26_3.out:Avg angular diffs   : 93.72
./35_21%12_4.out:Avg angular diffs   : 99.67
./26_8%6_1.out:Avg angular diffs   : 98.29
./56_31%31_4.out:Avg angular diffs   : 109.52
./48_27%28_2.out:Avg angular diffs   : 87.66
./47_35%26_1.out:Avg angular diffs   : 73.97
./44_36%35_1.out:Avg angular diffs   : 102.21
./61_15%5_1.out:Avg angular diffs   : 87.95
./47_40%30_3.out:Avg angular diffs   : 82.50
./64_16%6_1.out:Avg angular diffs   : 83.39
./45_29%40_3.out:Avg angular diffs   : 81.89
./43_42%41_4.out:Avg angular diffs   : 90.00
./26_30%25_3.out:Avg angular diffs   : 85.69
./34_12%11_4.out:Avg angular diffs   : 103.97
./35_19%9_3.out:Avg angular diffs   : 73.33
./59_26%35_1.out:Avg angular diffs   : 83.49
./59_29%40_3.out:Avg angular diffs   : 93.66
./46_35%25_1.out:Avg angular diffs   : 104.49
./46_35%36_1.out:Avg angular diffs   : 65.82
./46_36%26_1.out:Avg angular diffs   : 98.54
./35_16%5_1.out:Avg angular diffs   : 80.44
./28_37%38_4.out:Avg angular diffs   : 71.71
./45_32%42_4.out:Avg angular diffs   : 92.50
./44_29%39_3.out:Avg angular diffs   : 84.13
./28_9%21_2.out:Avg angular diffs   : 114.38
./27_10%39_4.out:Avg angular diffs   : 90.41
./35_20%17_2.out:Avg angular diffs   : 91.86
./46_30%37_2.out:Avg angular diffs   : 86.25
./26_10%8_1.out:Avg angular diffs   : 81.59
./27_30%29_3.out:Avg angular diffs   : 85.33
./35_10%19_3.out:Avg angular diffs   : 98.79
./28_5%10_1.out:Avg angular diffs   : 100.45
./48_30%29_3.out:Avg angular diffs   : 111.45
./36_11%22_4.out:Avg angular diffs   : 73.12
./28_9%17_2.out:Avg angular diffs   : 81.77
./48_37%38_2.out:Avg angular diffs   : 90.00
./32_22%12_4.out:Avg angular diffs   : 88.54
./36_5%21_4.out:Avg angular diffs   : 107.34
./44_36%26_1.out:Avg angular diffs   : 72.13
./36_16%5_1.out:Avg angular diffs   : 77.27
./54_40%31_4.out:Avg angular diffs   : 94.68
./39_20%9_3.out:Avg angular diffs   : 103.70
./27_17%19_2.out:Avg angular diffs   : 95.00
./63_16%15_1.out:Avg angular diffs   : 69.51
./28_25%32_3.out:Avg angular diffs   : 93.18
./26_26%30_3.out:Avg angular diffs   : 84.90
./27_39%12_1.out:Avg angular diffs   : 93.09
./48_29%30_3.out:Avg angular diffs   : 81.00
./61_15%7_2.out:Avg angular diffs   : 75.09
./26_9%12_1.out:Avg angular diffs   : 90.00
./32_11%12_4.out:Avg angular diffs   : 95.12
./39_6%15_1.out:Avg angular diffs   : 112.50
./26_12%9_1.out:Avg angular diffs   : 76.36
./26_29%27_3.out:Avg angular diffs   : 75.35
./28_37%42_4.out:Avg angular diffs   : 73.26
./64_15%5_1.out:Avg angular diffs   : 80.22
./26_15%18_2.out:Avg angular diffs   : 88.06
./46_26%25_1.out:Avg angular diffs   : 73.98
./48_27%38_2.out:Avg angular diffs   : 93.00
./61_10%9_3.out:Avg angular diffs   : 115.14
./37_17%10_3.out:Avg angular diffs   : 98.74
./54_41%32_4.out:Avg angular diffs   : 92.97
./28_7%9_1.out:Avg angular diffs   : 87.38
./48_35%36_1.out:Avg angular diffs   : 75.98
./32_6%16_1.out:Avg angular diffs   : 83.22
./45_26%35_1.out:Avg angular diffs   : 97.73
./45_29%39_3.out:Avg angular diffs   : 92.59
./44_31%32_4.out:Avg angular diffs   : 69.35
./48_42%32_4.out:Avg angular diffs   : 76.55
./31_11%12_4.out:Avg angular diffs   : 73.88
./26_38%37_4.out:Avg angular diffs   : 78.88
./34_9%20_3.out:Avg angular diffs   : 77.34
./26_17%37_4.out:Avg angular diffs   : 92.12
./37_15%16_1.out:Avg angular diffs   : 67.81
./31_21%20_3.out:Avg angular diffs   : 94.94
./61_21%11_4.out:Avg angular diffs   : 91.41
./26_8%9_1.out:Avg angular diffs   : 86.59
./32_20%9_3.out:Avg angular diffs   : 88.61
./28_11%10_1.out:Avg angular diffs   : 101.36
./64_6%15_1.out:Avg angular diffs   : 83.22
./38_20%9_3.out:Avg angular diffs   : 102.96
./44_30%39_3.out:Avg angular diffs   : 96.52
./44_31%41_4.out:Avg angular diffs   : 93.29
./27_8%12_1.out:Avg angular diffs   : 101.91
./63_15%6_1.out:Avg angular diffs   : 96.48
./28_15%19_2.out:Avg angular diffs   : 92.07
./59_41%32_4.out:Avg angular diffs   : 89.05
./27_28%29_3.out:Avg angular diffs   : 84.91
./44_41%32_4.out:Avg angular diffs   : 69.35
./48_35%25_1.out:Avg angular diffs   : 102.57
./44_32%41_4.out:Avg angular diffs   : 91.10
./26_21%19_2.out:Avg angular diffs   : 84.07
./28_30%25_3.out:Avg angular diffs   : 95.13
./63_19%9_3.out:Avg angular diffs   : 100.36
